CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
1292,Centro Universitário de Adamantina,FAI,Pública,N,N,N,Centro Universitário,3500105,Adamantina,SP,Ativa
23459,Faculdade de Tecnologia de Adamantina,,Pública,N,N,N,Faculdade,3500105,Adamantina,SP,Ativa
1834,FACULDADE DE AGUDOS,FAAG,Privada,N,N,N,Faculdade,3500709,Agudos,SP,Ativa
1032,CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO,UNISAL,Privada,N,N,N,Centro Universitário,3501608,Americana,SP,Ativa
1310,FACULDADE DE AMERICANA,FAM,Privada,N,N,N,Faculdade,3501608,Americana,SP,Ativa
1182,INSTITUTO DE ENSINO SUPERIOR DE AMERICANA,IESA,Privada,N,N,N,Faculdade,3501608,Americana,SP,Ativa
35,FACULDADE DE TECNOLOGIA DE AMERICANA,FATEC-AM,Pública,N,N,N,Faculdade,3501608,Americana,SP,Ativa
1225,CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,Privada,N,N,N,Centro Universitário,3501905,Amparo,SP,Ativa
109,FACULDADES INTEGRADAS RUI BARBOSA,FIRB,Privada,N,N,N,Faculdade,3502101,Andradina,SP,Ativa
1623,FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA,FCAA,Privada,N,N,N,Faculdade,3502101,Andradina,SP,Ativa
1844,FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA,FISMA,Privada,N,N,N,Faculdade,3502101,Andradina,SP,Ativa
2289,FACULDADE UNIÃO CULTURAL DO ESTADO DE SÃO PAULO,UCESP,Privada,N,N,N,Faculdade,3502804,Araçatuba,SP,Ativa
23215,FACULDADE DO ESTADO DE SÃO PAULO,ESP,Privada,N,N,N,Faculdade,3502804,Araçatuba,SP,Ativa
1418,Centro Universitário Toledo Wyden,Unitoledo Wyden,Privada,N,N,N,Centro Universitário,3502804,Araçatuba,SP,Ativa
15697,Faculdade de Tecnologia de Araçatuba,FATEC Araçatuba,Pública,N,N,N,Faculdade,3502804,Araçatuba,SP,Ativa
845,FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA,FAC-FEA,Privada,N,N,N,Centro Universitário,3502804,Araçatuba,SP,Ativa
22939,Faculdade de Tecnologia de Araraquara,FATEC ARQ,Pública,N,N,N,Faculdade,3503208,Araraquara,SP,Ativa
124,UNIVERSIDADE DE ARARAQUARA,UNIARA,Privada,N,N,N,Universidade,3503208,Araraquara,SP,Ativa
1569,FACULDADES INTEGRADAS DE ARARAQUARA,FIAR,Privada,N,N,N,Faculdade,3503208,Araraquara,SP,Ativa
3436,Faculdade de Araraquara,FARA,Privada,N,N,N,Faculdade,3503208,Araraquara,SP,Ativa
125,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Privada,N,N,N,Centro Universitário,3503307,Araras,SP,Ativa
22096,FACULDADE SÃO LEOPOLDO MANDIC DE ARARAS,SLMANDIC-ARARAS,Privada,N,N,N,Faculdade,3503307,Araras,SP,Ativa
23438,Faculdade de Tecnologia de Araras,,Pública,N,N,N,Faculdade,3503307,Araras,SP,Ativa
1043,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO,FHO,Privada,N,N,N,Centro Universitário,3503307,Araras,SP,Ativa
18288,Faculdade Latino-americana,FLAM,Privada,N,N,N,Faculdade,3503901,Arujá,SP,Ativa
721,FACULDADE DE ASSIS,FASS,Privada,N,N,N,Faculdade,3504008,Assis,SP,Ativa
19863,Faculdade de Tecnologia de Assis,FATEC Assis,Pública,N,N,N,Faculdade,3504008,Assis,SP,Ativa
881,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS,IMESA,Pública,N,N,N,Faculdade,3504008,Assis,SP,Ativa
22237,Faculdade de Ciências Jurídicas de Assis,,Privada,N,N,N,Faculdade,3504008,Assis,SP,Ativa
5312,Centro Universitário UNIFAAT,UNIFAAT,Privada,N,N,N,Centro Universitário,3504107,Atibaia,SP,Ativa
1322,FACULDADE EDUVALE DE AVARÉ,EDUVALE,Privada,N,N,N,Faculdade,3504503,Avaré,SP,Ativa
23381,"FACULDADE DE GOVERNANÇA, ENGENHARIA E EDUCAÇÃO DE SÃO PAULO",FGE-SP,Privada,N,N,N,Faculdade,3504503,Avaré,SP,Ativa
1317,Centro Universitário Sudoeste Paulista,UniFSP,Privada,N,N,N,Centro Universitário,3504503,Avaré,SP,Ativa
1870,FACULDADES INTEGRADAS REGIONAIS DE AVARÉ,FIRA,Pública,N,N,N,Faculdade,3504503,Avaré,SP,Ativa
23394,Faculdade de Engenharia e Administração Paulista,FEAP,Privada,N,N,N,Faculdade,3504503,Avaré,SP,Ativa
16194,Faculdade Gran Tietê,FGT,Privada,N,N,N,Faculdade,3505302,Barra Bonita,SP,Ativa
131,Faculdade de Tecnologia do Brasil,FAT Brasil,Privada,N,N,N,Faculdade,3505302,Barra Bonita,SP,Ativa
1622,FACULDADE ITA EDUCACIONAL PAULISTA,null,Privada,N,N,N,Faculdade,3505302,Barra Bonita,SP,Ativa
2575,FACULDADES INTEGRADAS SOARES DE OLIVEIRA,FISO,Privada,N,N,N,Faculdade,3505500,Barretos,SP,Ativa
14892,FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA,FACISB,Privada,N,N,N,Faculdade,3505500,Barretos,SP,Ativa
2971,FACULDADE BARRETOS,FB,Privada,N,N,N,Faculdade,3505500,Barretos,SP,Ativa
2922,INSTITUTO SUPERIOR DE EDUCAÇÃO DE BARRETOS,ISEB,Privada,N,N,N,Faculdade,3505500,Barretos,SP,Ativa
22747,FACULDADE PROF. LUÍZ MÁRIO D'AVILA,FADAVILA,Privada,N,N,N,Faculdade,3505500,Barretos,SP,Ativa
3641,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS,UNIFEB,Privada,S,N,N,Centro Universitário,3505500,Barretos,SP,Ativa
15757,Faculdade de Tecnologia de Barueri,Fatec Barueri,Pública,N,N,N,Faculdade,3505708,Barueri,SP,Ativa
1463,FACULDADE DE BARUERI,FCGB,Privada,N,N,N,Faculdade,3505708,Barueri,SP,Ativa
135,Claretiano - Centro Universitário,CLARETIANOBT,Privada,S,N,N,Centro Universitário,3505906,Batatais,SP,Ativa
22313,FACULDADE NOVE DE JULHO DE BAURU,NOVE-BAURU,Privada,N,N,N,Faculdade,3506003,Bauru,SP,Ativa
1092,FACULDADES INTEGRADAS DE BAURU,FIB,Privada,N,N,N,Faculdade,3506003,Bauru,SP,Ativa
997,Centro Universitário de Bauru,,Privada,N,N,N,Centro Universitário,3506003,Bauru,SP,Ativa
137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,UNISAGRADO,Privada,N,S,N,Centro Universitário,3506003,Bauru,SP,Ativa
24366,FACULDADE MARECHAL RONDON DE BAURU,FMR-BAURU,Privada,N,N,N,Faculdade,3506003,Bauru,SP,Ativa
1816,INSTITUTO DE ENSINO SUPERIOR DE BAURU,IESB,Privada,N,N,N,Faculdade,3506003,Bauru,SP,Ativa
15689,Faculdade de Tecnologia de Bauru,FATEC,Pública,N,N,N,Faculdade,3506003,Bauru,SP,Ativa
5451,FACULDADE ANHANGÜERA DE BAURU,null,Privada,N,N,N,Faculdade,3506003,Bauru,SP,Ativa
19862,Faculdade de Tecnologia Jorge Caram Sabbag,FATEC Bebedouro,Pública,N,N,N,Faculdade,3506102,Bebedouro,SP,Ativa
882,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI,IMESB,Pública,N,N,N,Faculdade,3506102,Bebedouro,SP,Ativa
2774,Centro Universitário UNIFAFIBE,FAFIBE,Privada,N,N,N,Centro Universitário,3506102,Bebedouro,SP,Ativa
1432,FACULDADE BERTIOGA,FABE,Privada,N,N,N,Faculdade,3506359,Bertioga,SP,Ativa
843,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE BIRIGUI,FATEB,Pública,N,N,N,Faculdade,3506508,Birigui,SP,Ativa
1933,FACULDADE BIRIGUI,FABI,Privada,N,N,N,Faculdade,3506508,Birigui,SP,Ativa
1130,FACULDADE METODISTA DE CIÊNCIAS HUMANAS E EXATAS,METODISTA,Privada,N,N,N,Faculdade,3506508,Birigui,SP,Ativa
1545,FACULDADE DE BOITUVA,FIB,Privada,N,N,N,Faculdade,3507001,Boituva,SP,Ativa
4020,FACULDADE DE TECNOLOGIA DE BOTUCATU,FATEC BT,Pública,N,N,N,Faculdade,3507506,Botucatu,SP,Ativa
2328,FACULDADE ITEANA DE BOTUCATU,FITB,Privada,N,N,N,Faculdade,3507506,Botucatu,SP,Ativa
25207,FACULDADE NOVE DE JULHO DE BOTUCATU,NOVE-BOTUCATU,Privada,N,N,N,Faculdade,3507506,Botucatu,SP,Ativa
17593,Faculdade de Botucatu,FDB,Privada,N,N,N,Faculdade,3507506,Botucatu,SP,Ativa
17662,Faculdade Galileu,FG,Privada,N,N,N,Faculdade,3507506,Botucatu,SP,Ativa
716,FACULDADES INTEGRADAS DE BOTUCATU,null,Privada,N,N,N,Faculdade,3507506,Botucatu,SP,Ativa
495,FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA,FESB,Pública,N,N,N,Faculdade,3507605,Bragança Paulista,SP,Ativa
5633,FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA,null,Pública,N,N,N,Faculdade,3507605,Bragança Paulista,SP,Ativa
670,UNIVERSIDADE SÃO FRANCISCO,USF,Privada,S,S,N,Universidade,3507605,Bragança Paulista,SP,Ativa
